Country,65+,25-64 years,15-24 years,5-14 years,0-4 years
South Sudan,305990,3460212,2176125,3320113,1485838
Spain,9451269,26450400,4886323,4801967,1896972
Sri Lanka,2429186,10961074,3328547,3492360,1562271
Sudan,1563322,16582108,8753122,11674683,7083969
Suriname,44544,298496,107620,108035,54294
Sweden,2104335,5332498,1176116,1258670,595476
Switzerland,1648352,4840793,892844,872926,436494
Syria,985858,8410663,4885800,5149600,1892446
Taiwan,3808032,14388027,2636309,2055900,971637
Tajikistan,324022,4126431,1749361,2281240,1269024
Tanzania,1982485,21221284,12655372,17191888,10537304
Thailand,10390451,41022344,8875066,7934217,3379029
Timor,69818,490233,294681,308903,157309
Togo,267636,3224763,1673021,2208976,1270433
Tokelau,159,852,313,375,170
Tonga,6584,42380,20366,24521,12183
Trinidad and Tobago,169363,866862,195002,202121,92323
Tunisia,1078848,6485677,1642651,2020951,1034822
Turkey,7103116,44683692,13082896,13295902,6609798
Turkmenistan,311656,3055458,995019,1291975,687742
Turks and Caicos Islands,4589,27601,5393,4860,2698
Tuvalu,704,5097,1880,2298,1250
Uganda,769051,14236756,10125900,13032382,7689690
Ukraine,7573839,25240526,4090102,4829152,1797803
United Arab Emirates,164684,6862135,920163,936017,482150
United Kingdom,12726947,34888824,7782624,8230991,3651653
United States,56207480,175246610,44064944,42314180,19164416
United States Virgin Islands,20032,50751,10054,13216,6047
Uruguay,529652,1735138,495523,470959,194993
Uzbekistan,1697876,16903116,5231833,6401587,3847037
Vanuatu,11887,123865,56966,81178,45250
Venezuela,2351346,13232072,4672340,5548172,2395933
Vietnam,8531506,53125464,13836744,14606156,7368156
Wallis and Futuna,1521,5767,1652,1961,753
Western Sahara,31718,314200,80572,92147,46953
Yemen,886890,12210659,6733620,8436417,4714059
Zambia,338628,6734346,3975624,5351636,3072899
Zimbabwe,537915,5572892,3342436,4240570,2299712
